Date,Open,High,Low,Close,Avg
1/1/2016,37.59999847,38.38999939,26.19000053,33.61999893,32.73
2/1/2016,33.83000183,34.68999863,26.04999924,33.75,31.5
3/1/2016,33.90000153,41.90000153,33.36999893,38.34000015,37.87
4/1/2016,38.13999939,46.77999878,35.24000168,45.91999817,42.65
6/1/2016,48.81999969,51.66999817,45.83000183,48.33000183,48.61
7/1/2016,48.38000107,49.34999847,40.56999969,41.59999847,43.84
8/1/2016,41.34999847,48.75,39.18999863,44.70000076,44.21
9/1/2016,44.84999847,48.31999969,42.54999924,48.24000168,46.37
10/1/2016,48.04000092,51.93000031,46.63000107,46.86000061,48.47
11/1/2016,46.77000046,49.90000153,42.20000076,49.43999863,47.18
12/1/2016,49.06999969,54.50999832,48.97999954,53.72000122,52.4
2/1/2017,52.75999832,54.93999863,51.22000122,54.00999832,53.39
3/1/2017,53.95000076,54.43999863,47.00999832,50.59999847,50.68
4/1/2017,50.68999863,53.75999832,48.20000076,49.33000183,50.43
5/1/2017,49.16999817,52,43.75999832,48.31999969,48.03
6/1/2017,48.63000107,49.16999817,42.04999924,46.04000092,45.75
7/1/2017,46.27999878,50.40999985,43.65000153,50.16999817,48.08
8/1/2017,50.20999908,50.43000031,45.58000183,47.22999954,47.75
9/1/2017,47.08000183,52.86000061,46.56000137,51.66999817,50.36
11/1/2017,54.65000153,59.04999924,53.88999939,57.40000153,56.78
12/1/2017,57.41999817,60.50999832,55.81999969,60.41999817,58.92
1/1/2018,60.20000076,66.66000366,60.09999847,64.73000336,63.83
2/1/2018,64.76000214,66.30000305,58.06999969,61.63999939,62
3/1/2018,61.54999924,66.55000305,59.95000076,64.94000244,63.81
5/1/2018,68.55999756,72.83000183,65.91999817,67.04000092,68.6
6/1/2018,67.06999969,74.45999908,63.59000015,74.15000153,70.73
8/1/2018,68.43000031,70.5,64.43000031,69.80000305,68.24
9/1/2018,70.12000275,73.73000336,66.86000061,73.25,71.28
10/1/2018,73.29000092,76.90000153,64.80999756,65.30999756,69.01
11/1/2018,64.87999725,65.38999939,49.40999985,50.93000031,55.24
12/1/2018,52.45000076,54.54999924,42.36000061,45.40999985,47.44
1/1/2019,45.79999924,55.36999893,44.34999847,53.79000092,51.17
2/1/2019,54.00999832,57.81000137,51.22999954,57.22000122,55.42
3/1/2019,57.22000122,60.72999954,54.52000046,60.13999939,58.46
4/1/2019,60.24000168,66.59999847,60.13000107,63.90999985,63.55
5/1/2019,63.40000153,63.93000031,53.04999924,53.5,56.83
6/1/2019,53.41999817,59.93000031,50.59999847,58.47000122,56.33
7/1/2019,59.27000046,60.93999863,54.72000122,58.58000183,58.08
8/1/2019,57.84999847,57.99000168,50.52000046,55.09999847,54.54
10/1/2019,54.27999878,56.91999817,50.99000168,54.18000031,54.03
11/1/2019,54.15000153,58.74000168,54.06999969,55.16999817,55.99
1/1/2020,61.59999847,65.65000153,50.97000122,51.56000137,56.06
2/1/2020,51.00999832,54.5,43.84999847,44.75999832,47.7
4/1/2020,20.10000038,29.12999916,-40.31999969,18.84000015,2.55
5/1/2020,19.04000092,35.77000046,18.04999924,35.49000168,29.77
6/1/2020,35.20999908,41.63000107,34.27000046,39.27000046,38.39
7/1/2020,39.84000015,42.40000153,38.54000092,40.27000046,40.4
8/1/2020,40.38999939,43.77999878,39.58000183,42.61000061,41.99
9/1/2020,42.83000183,43.43000031,36.13000107,40.22000122,39.93
10/1/2020,39.90000153,41.70000076,34.91999817,35.79000092,37.47
12/1/2020,45.08000183,49.27999878,43.91999817,48.52000046,47.24
1/1/2021,48.40000153,53.93000031,47.18000031,52.20000076,51.1
2/1/2021,51.99000168,63.81000137,51.63999939,61.5,58.98
3/1/2021,61.95000076,67.98000336,57.25,59.15999985,61.46
4/1/2021,59.49000168,65.47000122,57.63000107,63.58000183,62.23
5/1/2021,63.63999939,67.51999664,61.56000137,66.31999969,65.13
6/1/2021,66.68000031,74.44999695,66.41000366,73.47000122,71.44
7/1/2021,73.5,76.98000336,65.20999908,73.94999695,72.05
9/1/2021,68.55000305,76.66999817,67.12000275,75.02999878,72.94
10/1/2021,75.12000275,85.41000366,74.23000336,83.56999969,81.07
11/1/2021,83.36000061,84.97000122,64.43000031,66.18000031,71.86
12/1/2021,67.01000214,77.44000244,62.43000031,75.20999908,71.69
1/1/2022,75.69000244,88.83999634,74.26999664,88.15000153,83.75
2/1/2022,88.15000153,100.5400009,86.55000305,95.72000122,94.27
3/1/2022,96.08999634,130.5,93.52999878,100.2799988,108.1
4/1/2022,101.2300034,109.8099976,92.93000031,104.6900024,102.48
