"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2025","0.7261","0.7280","0.7285","0.7200","","-0.20%"
"08/01/2025","0.7276","0.7218","0.7289","0.7181","","0.80%"
"07/01/2025","0.7218","0.7348","0.7377","0.7215","","-1.77%"
"06/01/2025","0.7348","0.7279","0.7386","0.7247","","0.96%"
"05/01/2025","0.7278","0.7248","0.7307","0.7134","","0.43%"
"04/01/2025","0.7247","0.6952","0.7263","0.6937","","4.27%"
"03/01/2025","0.6950","0.6913","0.7025","0.6876","","0.54%"
"02/01/2025","0.6913","0.6808","0.7067","0.6760","","0.42%"
"01/01/2025","0.6884","0.6953","0.7013","0.6852","","-0.98%"
"12/01/2024","0.6952","0.7140","0.7150","0.6912","","-2.65%"
"11/01/2024","0.7141","0.7178","0.7235","0.7053","","-0.50%"
"10/01/2024","0.7177","0.7393","0.7423","0.7170","","-2.92%"
"09/01/2024","0.7393","0.7413","0.7453","0.7327","","-0.23%"
"08/01/2024","0.7410","0.7243","0.7441","0.7170","","2.32%"
"07/01/2024","0.7242","0.7311","0.7359","0.7212","","-0.92%"
"06/01/2024","0.7309","0.7338","0.7352","0.7250","","-0.38%"
"05/01/2024","0.7337","0.7259","0.7359","0.7254","","1.10%"
"04/01/2024","0.7257","0.7383","0.7420","0.7222","","-1.72%"
"03/01/2024","0.7384","0.7365","0.7452","0.7344","","0.29%"
"02/01/2024","0.7363","0.7442","0.7483","0.7349","","-1.07%"
"01/01/2024","0.7443","0.7548","0.7559","0.7384","","-1.38%"
"12/01/2023","0.7547","0.7373","0.7589","0.7342","","2.35%"
"11/01/2023","0.7374","0.7207","0.7385","0.7194","","2.32%"
"10/01/2023","0.7207","0.7368","0.7376","0.7197","","-2.15%"
"09/01/2023","0.7365","0.7403","0.7473","0.7301","","-0.49%"
"08/01/2023","0.7401","0.7582","0.7586","0.7331","","-2.39%"
"07/01/2023","0.7582","0.7552","0.7638","0.7469","","0.38%"
"06/01/2023","0.7553","0.7368","0.7624","0.7360","","2.54%"
"05/01/2023","0.7366","0.7383","0.7510","0.7323","","-0.16%"
"04/01/2023","0.7378","0.7398","0.7518","0.7316","","-0.27%"
"03/01/2023","0.7398","0.7330","0.7404","0.7214","","0.97%"
"02/01/2023","0.7327","0.7516","0.7541","0.7317","","-2.50%"
"01/01/2023","0.7515","0.7380","0.7520","0.7307","","1.86%"
"12/01/2022","0.7378","0.7456","0.7471","0.7296","","-1.06%"
"11/01/2022","0.7457","0.7340","0.7560","0.7242","","1.61%"
"10/01/2022","0.7339","0.7237","0.7411","0.7154","","1.49%"
"09/01/2022","0.7231","0.7614","0.7720","0.7225","","-5.03%"
"08/01/2022","0.7614","0.7804","0.7857","0.7609","","-2.58%"
"07/01/2022","0.7816","0.7768","0.7820","0.7562","","0.62%"
"06/01/2022","0.7768","0.7907","0.7989","0.7645","","-1.75%"
"05/01/2022","0.7906","0.7788","0.7919","0.7646","","1.67%"
"04/01/2022","0.7776","0.7998","0.8063","0.7764","","-2.78%"
"03/01/2022","0.7998","0.7887","0.8046","0.7750","","1.41%"
"02/01/2022","0.7887","0.7869","0.7914","0.7764","","0.24%"
"01/01/2022","0.7868","0.7915","0.8032","0.7804","","-0.57%"
"12/01/2021","0.7913","0.7826","0.7933","0.7713","","1.12%"
"11/01/2021","0.7825","0.8069","0.8097","0.7789","","-3.04%"
"10/01/2021","0.8070","0.7887","0.8138","0.7850","","2.35%"
"09/01/2021","0.7885","0.7922","0.8005","0.7754","","-0.50%"
"08/01/2021","0.7925","0.8013","0.8032","0.7722","","-1.15%"
"07/01/2021","0.8017","0.8065","0.8130","0.7807","","-0.61%"
"06/01/2021","0.8066","0.8289","0.8331","0.8008","","-2.68%"
"05/01/2021","0.8288","0.8138","0.8325","0.8096","","1.88%"
"04/01/2021","0.8135","0.7961","0.8154","0.7903","","2.19%"
"03/01/2021","0.7961","0.7860","0.8088","0.7850","","1.45%"
"02/01/2021","0.7847","0.7826","0.8022","0.7770","","0.29%"
"01/01/2021","0.7824","0.7854","0.7944","0.7763","","-0.34%"
"12/01/2020","0.7851","0.7691","0.7883","0.7688","","2.09%"
"11/01/2020","0.7690","0.7510","0.7739","0.7479","","2.44%"
"10/01/2020","0.7507","0.7507","0.7646","0.7468","","-0.01%"
"09/01/2020","0.7508","0.7667","0.7697","0.7451","","-2.04%"
"08/01/2020","0.7664","0.7462","0.7681","0.7434","","2.83%"
"07/01/2020","0.7453","0.7366","0.7502","0.7327","","1.21%"
"06/01/2020","0.7364","0.7256","0.7512","0.7245","","1.42%"
"05/01/2020","0.7261","0.7170","0.7293","0.7055","","1.28%"
"04/01/2020","0.7169","0.7112","0.7221","0.6993","","0.83%"
"03/01/2020","0.7110","0.7455","0.7511","0.6817","","-4.72%"
"02/01/2020","0.7462","0.7555","0.7576","0.7426","","-1.23%"
"01/01/2020","0.7555","0.7699","0.7720","0.7545","","-1.88%"
"12/01/2019","0.7700","0.7531","0.7722","0.7506","","2.24%"
"11/01/2019","0.7531","0.7596","0.7628","0.7502","","-0.87%"
"10/01/2019","0.7597","0.7552","0.7670","0.7491","","0.61%"
"09/01/2019","0.7551","0.7511","0.7616","0.7472","","0.53%"
"08/01/2019","0.7511","0.7581","0.7590","0.7493","","-0.91%"
"07/01/2019","0.7580","0.7638","0.7684","0.7567","","-0.75%"
"06/01/2019","0.7637","0.7395","0.7659","0.7391","","3.22%"
"05/01/2019","0.7399","0.7471","0.7488","0.7371","","-0.95%"
"04/01/2019","0.7470","0.7488","0.7535","0.7395","","-0.29%"
"03/01/2019","0.7492","0.7592","0.7617","0.7423","","-1.33%"
"02/01/2019","0.7593","0.7620","0.7653","0.7495","","-0.35%"
"01/01/2019","0.7620","0.7333","0.7624","0.7319","","3.93%"
"12/01/2018","0.7332","0.7542","0.7599","0.7309","","-2.49%"
"11/01/2018","0.7519","0.7601","0.7665","0.7484","","-1.08%"
"10/01/2018","0.7601","0.7751","0.7825","0.7592","","-1.88%"
"09/01/2018","0.7747","0.7669","0.7763","0.7560","","1.02%"
"08/01/2018","0.7669","0.7689","0.7761","0.7589","","-0.23%"
"07/01/2018","0.7687","0.7610","0.7703","0.7524","","0.96%"
"06/01/2018","0.7614","0.7718","0.7778","0.7470","","-1.32%"
"05/01/2018","0.7716","0.7788","0.7857","0.7664","","-0.89%"
"04/01/2018","0.7785","0.7750","0.7984","0.7725","","0.40%"
"03/01/2018","0.7754","0.7793","0.7811","0.7618","","-0.49%"
