REF_DATE,VALUE,ID
Sep-22,155.1,273
Oct-22,174.2,274
Nov-22,167.8,275
Dec-22,150.9,276
Jan-23,151.4,277
Feb-23,143.4,278
Mar-23,138.6,279
Apr-23,134.8,280
May-23,127.7,281
Jun-23,130,282
Jul-23,134.4,283
Aug-23,148.3,284
Sep-23,153.8,285
Oct-23,144.7,286
Nov-23,141.3,287
Dec-23,128.5,288
Jan-24,127.6,289
Feb-24,133.8,290
Mar-24,135.4,291
Apr-24,138.8,292
May-24,134,293
Jun-24,133.7,294
Jul-24,136.6,295
Aug-24,129.7,296
Sep-24,120.6,297
Oct-24,123.5,298
Nov-24,125.4,299
Dec-24,124.6,300
Jan-25,133.3,301
Feb-25,134.6,302
Mar-25,129.4,303
Apr-25,124.8,304
May-25,123.1,305
Jun-25,124.2,306
Jul-25,127.5,307
