REF_DATE,VALUE,ID
Oct-22,130.9,274
Nov-22,129,275
Dec-22,129.5,276
Jan-23,127.1,277
Feb-23,126.6,278
Mar-23,124.7,279
Apr-23,124.4,280
May-23,124,281
Jun-23,121.4,282
Jul-23,117.1,283
Aug-23,121,284
Sep-23,121.8,285
Oct-23,122.2,286
Nov-23,121.6,287
Dec-23,119.8,288
Jan-24,120.1,289
Feb-24,122.4,290
Mar-24,123.2,291
Apr-24,124.2,292
May-24,125.1,293
Jun-24,123.8,294
Jul-24,123.2,295
Aug-24,122.4,296
Sep-24,122.1,297
Oct-24,121.9,298
Nov-24,123.8,299
Dec-24,122.8,300
Jan-25,126.1,301
Feb-25,128,302
Mar-25,126.6,303
Apr-25,124,304
May-25,122.6,305
Jun-25,122.4,306
Jul-25,122.4,307
