Date,Crops,ID
Dec-22,203.3,276
Jan-23,203.9,277
Feb-23,201,278
Mar-23,199.2,279
Apr-23,197.3,280
May-23,193.2,281
Jun-23,186.8,282
Jul-23,188.1,283
Aug-23,187.6,284
Sep-23,183.3,285
Oct-23,186.2,286
Nov-23,181.6,287
Dec-23,181.4,288
Jan-24,175.1,289
Feb-24,168,290
Mar-24,166,291
Apr-24,168.9,292
May-24,173.3,293
Jun-24,171.8,294
Jul-24,165.7,295
Aug-24,164.7,296
Sep-24,158.9,297
Oct-24,155.9,298
Nov-24,155.5,299
Dec-24,158.7,300
Jan-25,160.1,301
Feb-25,162.3,302
Mar-25,163.2,303
Apr-25,164,304
May-25,165.6,305
Jun-25,167.1,306
