Date,Grains,ID
22-Dec,194,276
23-Jan,195.8,277
23-Feb,195,278
23-Mar,190.2,279
23-Apr,187.8,280
23-May,181.1,281
23-Jun,174.8,282
23-Jul,176.3,283
23-Aug,173.2,284
23-Sep,169.3,285
23-Oct,167.7,286
23-Nov,162.4,287
23-Dec,159.5,288
24-Jan,155.9,289
24-Feb,150.7,290
24-Mar,146.6,291
24-Apr,146,292
24-May,148.9,293
24-Jun,149.5,294
24-Jul,141.6,295
24-Aug,136,296
24-Sep,130.6,297
24-Oct,130.5,298
24-Nov,129.9,299
24-Dec,132.7,300
25-Jan,136,301
25-Feb,137.7,302
25-Mar,138.7,303
25-Apr,139.5,304
25-May,141.3,305
25-Jun,141.6,306
