"REF_DATE","GEO","DGUID","Fertilizer product type","Period","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Canada","2016A000011124","Other fertilizer products","July to March","Metric tonnes","214","thousands","3","v52471080","1.9.3","106","","","","0"
"2006/2007","Canada","2016A000011124","Other fertilizer products","July to June","Metric tonnes","214","thousands","3","v52471089","1.9.4","143","","","","0"
"2007/2008","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471054","1.1.1","969","","","","0"
"2007/2008","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471063","1.1.2","2196","","","","0"
"2007/2008","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471072","1.1.3","3423","","","","0"
"2007/2008","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471081","1.1.4","4614","","","","0"
"2007/2008","Canada","2016A000011124","Urea (gross) 46-0-0","July to September","Metric tonnes","214","thousands","3","v52471055","1.2.1","721","","","","0"
"2007/2008","Canada","2016A000011124","Urea (gross) 46-0-0","July to December","Metric tonnes","214","thousands","3","v52471064","1.2.2","1648","","","","0"
"2007/2008","Canada","2016A000011124","Urea (gross) 46-0-0","July to March","Metric tonnes","214","thousands","3","v52471073","1.2.3","2583","","","","0"
"2007/2008","Canada","2016A000011124","Urea (gross) 46-0-0","July to June","Metric tonnes","214","thousands","3","v52471082","1.2.4","3429","","","","0"
"2007/2008","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471056","1.3.1","298","","","","0"
"2007/2008","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471065","1.3.2","683","","","","0"
"2007/2008","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471074","1.3.3","1034","","","","0"
"2007/2008","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471083","1.3.4","1408","","","","0"
"2007/2008","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471057","1.4.1","81","","","","0"
"2007/2008","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471066","1.4.2","185","","","","0"
"2007/2008","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471075","1.4.3","281","","","","0"
"2007/2008","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471084","1.4.4","384","","","","0"
"2007/2008","Canada","2016A000011124","Ammonium sulphate (AS) 20-0-0-24","July to September","Metric tonnes","214","thousands","3","v52471058","1.5.1","216","","","","0"
"2007/2008","Canada","2016A000011124","Ammonium sulphate (AS) 20-0-0-24","July to December","Metric tonnes","214","thousands","3","v52471067","1.5.2","458","","","","0"
"2007/2008","Canada","2016A000011124","Ammonium sulphate (AS) 20-0-0-24","July to March","Metric tonnes","214","thousands","3","v52471076","1.5.3","702","","","","0"
"2007/2008","Canada","2016A000011124","Ammonium sulphate (AS) 20-0-0-24","July to June","Metric tonnes","214","thousands","3","v52471085","1.5.4","934","","","","0"
"2007/2008","Canada","2016A000011124","Monoammonium phosphate (MAP) 11-52-0","July to September","Metric tonnes","214","thousands","3","v52471059","1.6.1","","x","","","0"
