Decade,YearMonth,Population,Employment,Unemployment,Not In Labour Force,Labour Force,Not Employed
2010s,2016-01,0.01,0.00,0.27,-0.01,0.01,0.02
2010s,2016-02,0.01,-0.01,0.17,0.02,0.00,0.04
2010s,2016-03,0.01,-0.01,0.43,0.00,0.01,0.04
2010s,2016-04,0.01,-0.02,0.54,0.01,0.01,0.06
2010s,2016-05,0.01,-0.01,0.17,0.03,0.00,0.04
2010s,2016-06,0.01,-0.01,0.37,0.02,0.01,0.05
2010s,2016-07,0.01,0.01,0.13,0.00,0.01,0.02
2010s,2016-08,0.01,-0.01,0.09,0.04,0.00,0.04
2010s,2016-09,0.01,-0.01,0.34,0.01,0.01,0.05
2010s,2016-10,0.01,-0.01,0.20,0.03,0.00,0.05
2010s,2016-11,0.01,-0.01,0.21,0.02,0.00,0.04
2010s,2016-12,0.01,-0.01,0.15,0.02,0.00,0.04
2010s,2017-01,0.01,-0.01,0.14,0.02,0.00,0.04
2010s,2017-02,0.01,0.01,-0.01,0.00,0.01,0.00
2010s,2017-03,0.01,0.00,-0.02,0.03,0.00,0.03
2010s,2017-04,0.01,0.00,-0.05,0.03,0.00,0.02
2010s,2017-05,0.01,0.00,0.10,0.01,0.01,0.02
2010s,2017-06,0.01,0.00,0.01,0.03,0.00,0.03
2010s,2017-07,0.01,0.00,0.09,0.02,0.01,0.03
2010s,2017-08,0.01,0.01,0.01,0.02,0.01,0.02
2010s,2017-09,0.01,0.00,-0.09,0.04,0.00,0.02
2010s,2017-10,0.01,0.00,-0.12,0.05,-0.01,0.03
2010s,2017-11,0.01,0.00,-0.11,0.05,-0.01,0.03
2010s,2017-12,0.01,0.01,0.02,0.01,0.01,0.01
2010s,2018-01,0.01,0.01,-0.16,0.04,0.00,0.01
2010s,2018-02,0.01,-0.01,-0.10,0.05,-0.01,0.03
2010s,2018-03,0.01,0.01,-0.04,0.01,0.01,0.00
2010s,2018-04,0.01,0.00,-0.01,0.02,0.00,0.02
2010s,2018-05,0.01,-0.01,-0.01,0.05,-0.01,0.04
2010s,2018-06,0.01,0.01,0.03,0.01,0.01,0.01
2010s,2018-07,0.01,-0.01,-0.01,0.04,-0.01,0.03
2010s,2018-08,0.01,0.00,0.06,0.01,0.00,0.02
2010s,2018-09,0.01,0.00,0.03,0.01,0.00,0.02
2010s,2018-10,0.01,0.01,0.03,0.00,0.01,0.00
2010s,2018-11,0.01,0.02,-0.16,0.00,0.01,-0.02
2010s,2018-12,0.01,0.01,-0.13,0.01,0.01,-0.01
2010s,2019-01,0.01,0.01,-0.04,0.01,0.01,0.00
2010s,2019-02,0.01,0.01,0.01,0.00,0.01,0.00
2010s,2019-03,0.01,0.01,-0.16,0.01,0.00,-0.01
2010s,2019-04,0.01,0.02,-0.09,-0.01,0.02,-0.02
2010s,2019-05,0.01,0.02,-0.18,0.00,0.01,-0.02
2010s,2019-06,0.01,0.02,-0.21,0.01,0.01,-0.02
2010s,2019-07,0.01,0.02,-0.08,0.00,0.01,-0.01
2010s,2019-08,0.01,0.02,-0.11,0.00,0.01,-0.02
2010s,2019-09,0.01,0.03,-0.13,-0.01,0.02,-0.03
2010s,2019-10,0.01,0.02,-0.20,0.00,0.01,-0.02
2010s,2019-11,0.01,0.00,0.21,-0.01,0.01,0.01
2010s,2019-12,0.01,0.01,-0.01,0.01,0.01,0.01
2020s,2020-01,0.01,0.01,0.09,0.00,0.01,0.01
2020s,2020-02,0.01,0.01,0.13,0.00,0.01,0.01
2020s,2020-03,0.01,-0.04,0.51,0.04,-0.01,0.09
2020s,2020-04,0.01,-0.13,0.88,0.18,-0.07,0.26
2020s,2020-05,0.01,-0.13,1.17,0.15,-0.06,0.27
2020s,2020-06,0.01,-0.07,1.16,0.05,-0.02,0.16
2020s,2020-07,0.00,-0.05,0.53,0.03,-0.01,0.10
2020s,2020-08,0.00,-0.05,0.44,0.06,-0.02,0.11
2020s,2020-09,0.00,-0.03,0.20,0.06,-0.02,0.07
2020s,2020-10,0.00,-0.03,0.24,0.05,-0.02,0.06
2020s,2020-11,0.00,-0.04,0.10,0.07,-0.03,0.07
2020s,2020-12,0.00,-0.05,0.23,0.07,-0.03,0.08
2020s,2021-01,0.00,-0.04,0.18,0.06,-0.03,0.07
2020s,2021-02,0.00,-0.04,0.14,0.06,-0.03,0.07
2020s,2021-03,0.00,-0.01,-0.04,0.02,-0.01,0.01
2020s,2021-04,0.00,0.12,-0.37,-0.10,0.06,-0.15
2020s,2021-05,0.00,0.12,-0.45,-0.09,0.05,-0.16
2020s,2021-06,0.00,0.05,-0.40,-0.01,0.01,-0.08
2020s,2021-07,0.00,0.02,-0.26,0.02,-0.01,-0.03
2020s,2021-08,0.00,0.03,-0.24,-0.02,0.01,-0.06
2020s,2021-09,0.00,0.01,-0.08,-0.01,0.01,-0.02
2020s,2021-10,0.00,0.00,-0.12,0.01,-0.01,0.00
2020s,2021-11,0.00,0.01,-0.26,0.02,-0.01,-0.01
2020s,2021-12,0.00,0.03,-0.25,-0.01,0.01,-0.04
2020s,2022-01,0.00,0.03,-0.22,-0.02,0.01,-0.04
2020s,2022-02,0.00,0.05,-0.34,-0.03,0.02,-0.07
2020s,2022-03,0.01,0.04,-0.28,-0.02,0.02,-0.06
2020s,2022-04,0.01,0.04,-0.15,-0.03,0.02,-0.04
2020s,2022-05,0.01,0.04,-0.30,-0.01,0.02,-0.05
2020s,2022-06,0.01,0.04,-0.43,0.01,0.01,-0.05
2020s,2022-07,0.01,0.04,-0.39,0.01,0.01,-0.05
2020s,2022-08,0.01,0.03,-0.25,0.03,0.01,-0.01
2020s,2022-09,0.02,0.02,-0.34,0.05,0.00,0.01
2020s,2022-10,0.02,0.03,-0.13,0.00,0.03,-0.01
2020s,2022-11,0.02,0.03,-0.19,0.01,0.02,-0.01
2020s,2022-12,0.02,0.02,-0.22,0.03,0.01,0.01
2020s,2023-01,0.02,0.03,-0.23,0.04,0.01,0.01
2020s,2023-02,0.02,0.01,-0.08,0.05,0.01,0.04
2020s,2023-03,0.02,0.01,-0.06,0.05,0.01,0.04
2020s,2023-04,0.02,0.01,-0.12,0.07,0.00,0.05
2020s,2023-05,0.03,0.00,-0.06,0.08,0.00,0.07
2020s,2023-06,0.03,0.00,0.27,0.06,0.01,0.07
2020s,2023-07,0.03,0.00,0.26,0.06,0.01,0.08
2020s,2023-08,0.03,0.01,0.19,0.05,0.02,0.07
2020s,2023-09,0.03,0.02,0.19,0.03,0.03,0.04
2020s,2023-10,0.03,0.03,-0.10,0.04,0.02,0.03
2020s,2023-11,0.03,0.03,0.17,0.01,0.04,0.02
2020s,2023-12,0.03,0.04,0.24,-0.01,0.05,0.01
2020s,2024-01,0.03,0.02,0.17,0.03,0.03,0.04
2020s,2024-02,0.03,0.03,0.16,0.02,0.04,0.03
2020s,2024-03,0.03,0.02,0.18,0.03,0.03,0.04
2020s,2024-04,0.03,0.03,0.23,0.02,0.04,0.04
2020s,2024-05,0.03,0.04,0.33,0.00,0.05,0.03
2020s,2024-06,0.03,0.03,0.15,0.02,0.04,0.04
2020s,2024-07,0.03,0.04,0.15,0.00,0.05,0.01
2020s,2024-08,0.03,0.04,0.10,0.02,0.04,0.03
2020s,2024-09,0.03,0.03,0.23,0.02,0.04,0.04
2020s,2024-10,0.03,0.01,0.37,0.04,0.03,0.07
2020s,2024-11,0.03,0.01,0.18,0.06,0.02,0.07
2020s,2024-12,0.03,0.02,0.13,0.05,0.02,0.05
2020s,2025-01,0.03,0.02,0.13,0.04,0.02,0.05
2020s,2025-02,0.03,0.02,0.03,0.05,0.02,0.05
2020s,2025-03,0.03,0.03,-0.09,0.03,0.03,0.02
2020s,2025-04,0.03,0.04,-0.19,0.03,0.02,0.01
2020s,2025-05,0.02,0.03,-0.24,0.05,0.01,0.02
2020s,2025-06,0.02,0.03,-0.06,0.01,0.03,0.00
2020s,2025-07,0.02,0.03,-0.04,0.01,0.03,0.01
